data,datetime_registro,id_registro,id_veiculo,servico,link_foto,validacao,datetime_captura,versao
2024-04-09,2024-04-09 19:01:04,K\xCB\x84\x0B\x5C\xD1L-u$\xAB\x8Fj\xF3\xA0\x90\xCF\xB2\x17\xBD\x84U\xF9\xF4\xA0h\xF1\xA5\xE7\xB3r\x91,D17035,796,https://drive.google.com/open?id=1-TwajsIounr6WlRaP4ipjtwzz1BGzqLQ,true,2024-04-10 07:00:00,ee9ea4f58690d3745063cea45a13196a091e547a
2024-04-09,2024-04-09 16:23:59,\x07\x0F\xB90\xDD\x8B)\x0B\xF3\x18\xAFI\xAD)\x12b\x0D\x1B\xFB0\xE0X\x18j\x7Fk\x8E\x0DU\xA9\x01\x85,C44543,783,https://drive.google.com/open?id=1W1D5O2Ln5MJetWLq8cHfEOXx4mzo7TL4,true,2024-04-10 07:00:00,ee9ea4f58690d3745063cea45a13196a091e547a
2024-04-09,2024-04-09 15:19:54,\xF5\xAF\x82y\xD6\x838\xD3\x9EA\xC2\x87\x91\xA1\xFA@r\x99\xFC \xFA I{V9\xEC\x1D\xAE\x11^M,D53539,788,https://drive.google.com/open?id=1EoZBGsasCGjsxGIKmzcyn5nQAOznFAoR,true,2024-04-10 07:00:00,ee9ea4f58690d3745063cea45a13196a091e547a
2024-04-09,2024-04-09 19:04:25,\xE4?\xA4X\xD4\x8B|\xB8u\x9B\xF5\xD7\x1F\x92\xEF\xB6G\x96\xBCC\xFE\x81\x8F[\xA6\xEF\xFA\x27ze\xBF\x1F,D17085,798,https://drive.google.com/open?id=1mp6cn2QHst-pcgWjVHNnimwjf74j8ptj,true,2024-04-10 07:00:00,ee9ea4f58690d3745063cea45a13196a091e547a
2024-07-12,2024-07-12 10:28:28,\xA1\xE2\x92\xA5q\xE8M\x16x\xB4\x09&\xD7\xDCu\xA6\x19K\xBE\x14\xA9!\xAD\xFAp\xF5t\x90(q\xEA\xE2,D53501,SR397,https://drive.google.com/open?id=1yVkkk98IKsnLqKiver2dUYC7PO2qASb6,true,2024-07-13 07:01:00,e09d8bd7671a69dbb59bf6bf700c8f9bf3345de5
2025-03-25,2025-03-25 17:15:34,\x94XD\xC4x\x1C\xDD\x8F+\xD5\xEE\x0F\xB6$\xF5*xlt\xC4j\x1DA\xDC\xD8)y\x0D\xA5\x08\xFD\x87,D53574,SP759,https://drive.google.com/open?id=1v1VfXTdc9pKqXp7JFQ_8RBsmwWb550s8,true,2025-03-26 07:01:00,0a109bb27ba1b1d08b69984c95b749de6bbfed5b
2025-03-25,2025-03-25 16:44:02,\xF0\xA0\x85\x01C\xFAd\xE9\xFCz$L\xCB\xA0\xB2\x87\x00\xFClt\xA2\x95\xB6\xC9\xB2qk\x1F\x8B}\xAC0,D17029,870,https://drive.google.com/open?id=12ubQX18GSiotuOYcggA_zdN_xm_ULooZ,true,2025-03-26 07:01:00,0a109bb27ba1b1d08b69984c95b749de6bbfed5b
2025-03-25,2025-03-25 16:13:21,\xD9U\xCAZ\xD9\x9Dgyvba\xDA\x80\x8E^\xE0\x0E\x98\x0C-\xE5\xBB\xAE\x0B\xC8\xA3\xE7\x1E\x1Aw\x9Cy,D13047,753,https://drive.google.com/open?id=1CRlvKcFMbzm5drFiUfpfXchpRAC7h7HE,true,2025-03-26 07:01:00,0a109bb27ba1b1d08b69984c95b749de6bbfed5b
2025-03-25,2025-03-25 17:37:27,\xA6\x09\xBF\x22\xAEB{(\xC6\x05\xBD\xA2r\x9Bdp\x85\xCC\x1Es\xE9\xD0\xF7[\x5C\x10/w\x89!\xB2\xF7,D87321,807,https://drive.google.com/open?id=1zVaSZg07jXW_dUbnJJ3ppHNyZ_wDKREE,true,2025-03-26 07:01:00,0a109bb27ba1b1d08b69984c95b749de6bbfed5b
2025-03-25,2025-03-25 17:26:47,\xB4\x13\x03\x0B\xDE\xC1a^\xCC\x9A\xB4\xFD\xD5rw\x1BdQ\x05\xEE\xBD:\x1C\xEE\xAF\xB2*9\xBCV\x8C\x04,D17018,807,https://drive.google.com/open?id=1PaHWQct6DTGSxaBxlpaBwGfJszQVs9jL,true,2025-03-26 07:01:00,0a109bb27ba1b1d08b69984c95b749de6bbfed5b
